Object,Attribute,Type,Required,Size,Pattern,Example,Description,Constraints
ActiveReeferSettings,airExchangeSetpoint,number,,minimum=0,,15.4,"Target value for the air exchange rate which is the rate at which outdoor air replaces indoor air within a Reefer container",
ActiveReeferSettings,airExchangeUnit,string,,,,MQH,"The unit for `airExchange` in metrics- or imperial- units per hour
- `MQH` (Cubic metre per hour)
- `FQH` (Cubic foot per hour)

**Condition:** Mandatory if `airExchange` is provided. If `airExchange` is not provided, this field must be empty.",
ActiveReeferSettings,co2Setpoint,number,,"minimum=0
maximum=100",,25,"The percentage of the controlled atmosphere CO<sub>2</sub> target value",
ActiveReeferSettings,humiditySetpoint,number,,"minimum=0
maximum=100",,95.6,"The percentage of the controlled atmosphere humidity target value",
ActiveReeferSettings,isBulbMode,boolean,,,,true,"Is special container setting for handling flower bulbs active",
ActiveReeferSettings,isColdTreatmentRequired,boolean,,,,true,"Indicator whether cargo requires cold treatment prior to loading at origin or during transit, but prior arrival at POD",
ActiveReeferSettings,"isControlledAtmosphereRequired",boolean,,,,true,"Indicator of whether cargo requires Controlled Atmosphere.",
ActiveReeferSettings,isDrainholesOpen,boolean,,,,true,"Is drain holes open on the container",
ActiveReeferSettings,isGeneratorSetRequired,boolean,,,,true,"Indicator whether reefer container should have a generator set attached at time of release from depot",
ActiveReeferSettings,isPreCoolingRequired,boolean,,,,true,"Indicator whether reefer container should be pre-cooled to the temperature setting required at time of release from depot",
ActiveReeferSettings,isVentilationOpen,boolean,,,,true,"If `true` the ventilation orifice is `Open` - if `false` the ventilation orifice is `closed`",
ActiveReeferSettings,o2Setpoint,number,,"minimum=0
maximum=100",,25,"The percentage of the controlled atmosphere O<sub>2</sub> target value",
ActiveReeferSettings,temperatureSetpoint,number,yes,,,-15,"Target value of the temperature for the Reefer based on the cargo requirement.",
